Source, Statistic, mean, standard deviation, number of connections, z, p
ZNF746,  sources,5.356,1.98021817,6,0.325216691,0.627491461
PPARD, ESCUp sources,0.73,0.836122001,1,0.322919382,0.626621851
JUN, EndodUP targets,4.34,2.063589106,5,0.319831113,0.62545182
KLF10, EndodUP sources,2.511,1.529012426,3,0.319814275,0.625445437
PPARD, EndoDown targets,0.731,0.847725781,1,0.317319593,0.624499444
ATF1, EndoDown targets,0.728,0.859078576,1,0.316618302,0.624233377
TSHZ1, ESCUp sources,0.735,0.84188776,1,0.3147688,0.623531399
FOXK2, HepEven sources,1.628,1.183053676,2,0.314440509,0.623406753
NR2F2, HepUp targets,23.553,4.612070143,25,0.313741976,0.623141491
TGIF1,  targets,10.116,2.821089151,11,0.313354152,0.622994194
MTA3, HepEven sources,1.6,1.277497554,2,0.313112146,0.622902269
ZNF394,  sources,4.403,1.911698459,5,0.312287744,0.622589073
JAZF1,  sources,5.362,2.048647359,6,0.311424998,0.622261224
ZBTB4, ESCDown sources,1.629,1.196394166,2,0.31009847,0.621756962
MSX1, ESCUp sources,0.742,0.837517761,1,0.308053169,0.620979062
H1F0, ESCUp sources,0.74,0.844037914,1,0.308043034,0.620975207
SOX6, ESCUp targets,0.736,0.860409205,1,0.306830748,0.620513899
ARID5B, ESCUp sources,1.616,1.257992051,2,0.305248352,0.619911495
GLI2,  sources,3.493,1.664917716,4,0.304519554,0.619633951
ZBP1, EndodUP sources,0.746,0.836351601,1,0.303700023,0.61932178
MBNL3,  sources,8.248,2.499699182,9,0.300836199,0.618230298
MAX, EndodUP sources,1.628,1.242423438,2,0.299414828,0.617688225
ZNF497, EndodUP sources,0.743,0.859622592,1,0.298968411,0.617517926
JUND, EndodUP sources,0.74,0.869712596,1,0.298949332,0.617510647
MTA3, ESCUp sources,0.744,0.857008751,1,0.298713402,0.617420635
SOX2, ESCUp targets,0.746,0.856436804,1,0.296577633,0.616605505
SMAD3, HepUp sources,4.404,2.013649423,5,0.295980022,0.616377331
ZNF423, ESCUp sources,1.627,1.264860071,2,0.29489428,0.615962679
SOX15, ESCUp targets,0.751,0.845576135,1,0.294473779,0.615802052
FOXC1,  targets,7.259,2.553804809,8,0.2901553,0.614151284
LENG9, HepUp sources,1.633,1.269768089,2,0.289029157,0.613720467
EndoDown, HepUp targets,4.398,2.085568508,5,0.288650312,0.613575505
GLI2, HepUp targets,4.398,2.085568508,5,0.288650312,0.613575505
HepUp, EndoDown sources,4.398,2.085568508,5,0.288650312,0.613575505
TEAD1,  sources,8.271,2.535657508,9,0.287499395,0.613135018
ZNF132, ESCUp sources,0.749,0.874070363,1,0.287162236,0.61300595
SOX4, ESCUp targets,0.762,0.829069358,1,0.287068866,0.612970205
MLLT1, ESCUp sources,0.753,0.868326551,1,0.284455197,0.611969218
GATA3, HepEven targets,3.489,1.799966389,4,0.28389419,0.611754265
ZNF266, HepUp sources,0.755,0.870043102,1,0.281595244,0.610873056
USF1, EndodUP sources,0.762,0.848148572,1,0.280611214,0.610495693
PPARD, HepEven sources,1.655,1.234493823,2,0.279466769,0.610056681
ZBTB5, HepEven sources,2.571,1.535239069,3,0.279435307,0.61004461
HOXB2, EndodUP sources,0.756,0.873191846,1,0.279434584,0.610044333
MLLT1, HepEven sources,1.66,1.223274295,2,0.277942569,0.609471777
SOX11, ESCUp targets,0.762,0.857529008,1,0.277541631,0.609317878
NFE2, ESCDown sources,1.657,1.241511579,2,0.276276118,0.608832001
RBM22, ESCDown sources,0.764,0.856915398,1,0.275406418,0.608497993
ZNF556, HepUp sources,1.65,1.273381325,2,0.27485875,0.60828762
ZNF337, EndodUP sources,0.772,0.840247583,1,0.271348594,0.606938532
PLXNA2, HepUp sources,1.651,1.288098987,2,0.27094191,0.606782145
TFAP4, ESCUp targets,11.149,3.158290519,12,0.269449563,0.606208125
ZIC5, HepEven sources,1.676,1.204584576,2,0.268972396,0.606024538
ZFHX3,  targets,3.547,1.69168289,4,0.267780683,0.60556593
TFAP2A, EndodUP targets,32.454,5.785489089,34,0.267220278,0.605350218
KLF7, HepUp sources,2.589,1.53950609,3,0.266968739,0.605253385
SNAI2, EndodUP sources,0.775,0.844023104,1,0.26658038,0.605103868
MAFG, HepEven targets,7.309,2.594902503,8,0.266291315,0.604992569
ZNF165, HepUp sources,0.774,0.851424688,1,0.265437452,0.604663756
DZIP1, ESCUp sources,0.776,0.847244947,1,0.264386351,0.604258886
SETBP1, EndodUP sources,0.774,0.874599337,1,0.258404038,0.60195245
PRDM1, EndoDown targets,1.678,1.268982269,2,0.25374665,0.600154354
ZNF791, EndodUP sources,0.789,0.838140203,1,0.251747857,0.599382018
ZNF268, HepUp sources,0.781,0.876948687,1,0.249729549,0.598601747
ZIC2, EndodUP sources,0.787,0.863499276,1,0.246670734,0.597418471
SP5, ESCDown sources,0.783,0.880858104,1,0.246350688,0.597294612
ARID5B, HepEven sources,3.551,1.841575141,4,0.243813022,0.596312183
HMBOX1, HepEven sources,2.629,1.528188143,3,0.242771155,0.595908659
ZSCAN10, ESCUp sources,0.78,0.907524104,1,0.242417803,0.59577178
HMGB2, HepUp sources,2.613,1.598508993,3,0.242100609,0.595648897
LCORL, HepEven sources,2.621,1.56632021,3,0.241968403,0.595597677
WDHD1,  sources,6.459,2.239267514,7,0.24159686,0.595453722
KLF15, EndodUP sources,0.78,0.913016977,1,0.240959375,0.595206698
TSHZ1, EndodUP sources,0.79,0.884251096,1,0.237489104,0.593861314
MINK1, ESCDown sources,1.684,1.336466984,2,0.2364443,0.593456038
JAZF1, EndodUP sources,0.784,0.918337629,1,0.235207611,0.592976201
GLI2, HepUp sources,0.797,0.871659911,1,0.232888994,0.592076198
SOX15, EndodUP sources,1.701,1.284367159,2,0.232799475,0.59204144
BRD9,  sources,10.38,2.671254387,11,0.232100695,0.591770097
ZNF721, EndodUP sources,0.796,0.889035432,1,0.229462171,0.59074514
CDX2, ESCUp sources,0.799,0.881248546,1,0.228085483,0.590210107
HepUp, EndodUP targets,63.239,7.758858099,65,0.226966388,0.589775061
EndodUP, HepUp sources,63.239,7.758858099,65,0.226966388,0.589775061
MIXL1, HepEven sources,1.711,1.275726852,2,0.226537522,0.58960831
SMARCC1, HepEven sources,1.709,1.286203328,2,0.226247277,0.589495449
EDF1, HepEven sources,0.798,0.90509447,1,0.223181123,0.588302728
ATXN7, EndodUP sources,2.642,1.613640604,3,0.221858572,0.587788009
FBN1, ESCUp sources,0.804,0.889710065,1,0.220296485,0.587179871
NR3C1, HepEven targets,4.547,2.062956858,5,0.219587723,0.586903873
DDIT3, HepUp sources,1.724,1.258500695,2,0.21930858,0.586795161
DEPDC1B, HepUp sources,0.807,0.880767279,1,0.219127123,0.586724489
BNC2, ESCUp sources,0.809,0.8789306,1,0.217309535,0.586016437
HOXB5,  sources,4.59,1.898394058,5,0.21597202,0.585495221
DEPDC1B,  sources,3.641,1.675744312,4,0.21423316,0.584817381
FOXJ2, EndoDown targets,0.808,0.897293709,1,0.213976759,0.58471741
STAT6, EndoDown targets,0.812,0.883547395,1,0.212778625,0.584250182
SNAI1, HepEven sources,1.737,1.270366483,2,0.207026873,0.582005564
NFXL1, HepEven sources,1.737,1.273511288,2,0.206515641,0.581805926
U2AF1, EndodUP sources,0.824,0.856168208,1,0.205567082,0.581435453
ZFHX3, HepUp sources,1.73,1.314952471,2,0.205330615,0.581343087
TSC22D2, ESCUp sources,0.811,0.92264782,1,0.204845225,0.581153474
RAPGEF4, EndodUP sources,1.73,1.318749408,2,0.204739428,0.581112143
TSC22D3, ESCUp sources,1.736,1.300116918,2,0.203058661,0.580455409
TFAP2A, HepDown targets,20.107,4.426686232,21,0.201731036,0.579936501
ESCUp, HepUp sources,63.495,7.473953104,65,0.201365995,0.579793799
HepUp, ESCUp targets,63.495,7.473953104,65,0.201365995,0.579793799
NKX2-5, ESCUp targets,1.74,1.294758665,2,0.200809624,0.579576281
HAND1, EndoDown targets,0.819,0.902351927,1,0.200586927,0.579489209
ID2, ESCUp sources,0.814,0.932418361,1,0.199481271,0.579056854
TRIM32, ESCUp sources,0.821,0.903857843,1,0.198039992,0.578493113
FOXO4, ESCDown sources,1.738,1.329419422,2,0.197078511,0.57811695
RUNX1,  sources,22.196,4.10896386,23,0.195669767,0.577565675
KLF5, EndodUP sources,0.823,0.910862778,1,0.194321257,0.577037829
ZNF507, ESCUp sources,0.831,0.874322023,1,0.193292626,0.5766351
ZNF287, ESCUp sources,0.827,0.895025698,1,0.193290539,0.576634282
BNC1, ESCUp sources,0.828,0.893541269,1,0.192492508,0.576321782
SMAD3, HepEven sources,5.558,2.369522315,6,0.186535487,0.573987574
ATF6, ESCDown sources,0.832,0.905414822,1,0.185550309,0.573601288
POLR2L, ESCUp sources,0.833,0.903941923,1,0.184746382,0.573286018
ZNF841, HepEven sources,0.833,0.90725465,1,0.184071804,0.573021437
IRX3,  sources,6.598,2.212328185,7,0.181709026,0.572094459
ZNF649, HepEven sources,0.836,0.913840249,1,0.179462439,0.571212696
GABPA, HepDown targets,4.619,2.132566294,5,0.178657986,0.57089687
NUFIP1, ESCDown sources,0.842,0.886022573,1,0.178325028,0.570766138
TEAD1, HepUp sources,1.777,1.255098004,2,0.177675368,0.570511035
KNTC1, ESCDown sources,0.836,0.923636292,1,0.177559069,0.570465364
FOXJ2, HepUp targets,4.64,2.057765779,5,0.174947024,0.56943937
ZNF589, EndoDown targets,0.84,0.929731144,1,0.172092761,0.568317698
MBD3, HepUp sources,0.842,0.933293094,1,0.169293013,0.567216914
CREBL2, EndodUP sources,0.843,0.928628559,1,0.169066521,0.567127841
SIX4, HepEven sources,1.787,1.289042668,2,0.165238906,0.565622028
MSX2, ESCUp sources,0.851,0.907082686,1,0.164262864,0.565237893
ZFR2, HepEven sources,1.786,1.32748032,2,0.161207663,0.564035077
GABPA, ESCUp targets,7.562,2.737180301,8,0.160018688,0.563566823
PPARA, ESCUp sources,0.853,0.931338284,1,0.157837386,0.562707531
POU2F3, HepUp targets,2.753,1.60436623,3,0.153954874,0.561177341
FOXK2, EndodUP sources,0.858,0.93050309,1,0.152605619,0.560645353
CEBPB, HepUp sources,1.798,1.330862878,2,0.151781227,0.560320255
SMAD6, HepUp sources,2.755,1.644072687,3,0.149020175,0.559231143
HNF4A, HepEven targets,10.532,3.162431976,11,0.147987373,0.558823633
TSHZ3, HepUp sources,1.802,1.341937405,2,0.147547866,0.558650199
MAFG, EndodUP sources,2.749,1.710555173,3,0.146735986,0.558329793
SLC2A4RG, HepUp sources,1.809,1.302504894,2,0.146640524,0.558292117
ZNF32, ESCDown sources,0.874,0.869553909,1,0.144901884,0.557605831
KLF6, ESCUp sources,0.865,0.935294071,1,0.14433963,0.557383857
ZNF589, HepEven targets,4.691,2.151166893,5,0.143642969,0.557108796
BNC2,  sources,6.677,2.263331836,7,0.142709962,0.556740376
ZNF132, EndodUP sources,0.871,0.907942179,1,0.142079532,0.556491407
CREM, EndodUP sources,2.776,1.606805527,3,0.139407039,0.555435745
TSC22D2, HepEven sources,1.813,1.346117008,2,0.138918087,0.555242561
CEBPB,  targets,23.414,4.231855858,24,0.138473525,0.555066904
NEUROD2, ESCUp sources,0.876,0.895892851,1,0.138409409,0.555041569
CARHSP1, ESCUp sources,0.875,0.912893751,1,0.136927216,0.554455837
ETV5, HepUp sources,2.786,1.602561699,3,0.1335362,0.553115332
ZBTB1, HepEven sources,3.748,1.894860417,4,0.132991326,0.55289988
SCML4, HepUp sources,0.881,0.911503703,1,0.130553501,0.551935736
EPAS1, HepUp sources,2.793,1.605039252,3,0.128968809,0.551308835
TGIF1, HepDown targets,0.882,0.917646991,1,0.128589753,0.551158863
MINK1,  sources,8.669,2.598353132,9,0.127388381,0.550683494
SSH2, ESCUp sources,0.881,0.937464133,1,0.12693819,0.55050534
JDP2,  sources,13.571,3.388061245,14,0.126621088,0.550379847
YBX1, HepUp sources,1.827,1.391068295,2,0.12436485,0.549486799
SOX4, EndodUP sources,0.888,0.907444764,1,0.12342349,0.549114122
PLEKHA4, HepUp sources,0.883,0.950426746,1,0.123102596,0.548987072
ZC3H15, HepEven sources,1.837,1.337322325,2,0.12188535,0.548505091
CEBPA, HepDown targets,1.837,1.338817015,2,0.121749274,0.548451206
FOXO4, EndodUP targets,1.841,1.34153606,2,0.118520854,0.547172514
BNC2, HepEven sources,1.843,1.334297943,2,0.117664875,0.5468334
FOXA1, HepEven sources,1.846,1.330520199,2,0.115744203,0.546072364
ZNF556, ESCUp sources,0.894,0.915840597,1,0.115740665,0.546070962
ZNF649,  sources,2.832,1.454570727,3,0.115497993,0.545974795
ID2, HepEven sources,1.851,1.294912738,2,0.115065669,0.545803464
FOXC1, HepEven sources,0.894,0.927773679,1,0.114252002,0.545480985
YEATS2, EndodUP sources,0.896,0.911692931,1,0.114073496,0.545410234
ESCUp, HepUp targets,52.225,6.951429709,53,0.111487857,0.544385253
HepUp, ESCUp sources,52.225,6.951429709,53,0.111487857,0.544385253
CREM, EndoDown targets,0.899,0.915859705,1,0.110278899,0.543905904
HepDown, EndodUP targets,8.681,2.93039912,9,0.108858892,0.543342794
EndodUP, HepDown sources,8.681,2.93039912,9,0.108858892,0.543342794
SMAD3, ESCDown sources,3.792,1.934098239,4,0.107543658,0.542821154
POLR2L, HepEven sources,1.861,1.297566569,2,0.107123598,0.542654537
POU2F3, EndodUP targets,1.854,1.365534328,2,0.106917854,0.542572926
DZIP1, EndodUP sources,0.902,0.917821333,1,0.106774594,0.542516098
TSC22D1, ESCDown sources,1.856,1.350282933,2,0.106644316,0.54246442
ZNF287,  sources,6.769,2.215319164,7,0.104273914,0.541524011
ZNF497, ESCDown sources,0.902,0.943607969,1,0.10385669,0.541358461
RUNX1, HepUp sources,4.78,2.132979137,5,0.103142125,0.541074914
KLF7, EndodUP sources,1.865,1.326188147,2,0.101795511,0.540540506
BCL6, EndodUP sources,1.859,1.414609133,2,0.099674176,0.539698499
ARNT, HepUp targets,12.661,3.477654238,13,0.097479501,0.538827194
EndoDown, ESCDown targets,3.82,1.914053291,4,0.094041269,0.537461813
GLI2, ESCDown targets,3.82,1.914053291,4,0.094041269,0.537461813
ESCDown, EndoDown sources,3.82,1.914053291,4,0.094041269,0.537461813
ZNF432, ESCDown sources,0.909,0.979141971,1,0.092938514,0.537023796
FOXA1, EndodUP targets,3.837,1.778322524,4,0.091659414,0.536515678
MINK1, HepUp sources,1.876,1.357432871,2,0.0913489,0.536392318
KLF8, HepEven sources,0.915,0.93368892,1,0.091036745,0.536268303
LARP6, ESCDown sources,0.919,0.941508895,1,0.086032113,0.534279555
ZBTB4, HepUp sources,1.883,1.395460856,2,0.083843269,0.533409477
ZBTB25, HepEven sources,3.848,1.881195365,4,0.080799689,0.532199372
ZFP42, HepUp sources,2.869,1.660071986,3,0.078912241,0.531448786
NANOG, HepUp sources,0.926,0.950012631,1,0.077893701,0.531043695
ZNF589, ESCDown sources,0.928,0.933175225,1,0.077155928,0.530750249
ZNF747, HepUp sources,0.931,0.929644556,1,0.074221916,0.529583096
SMAD3, HepDown targets,2.876,1.693701272,3,0.073212438,0.529181466
NCOR2,  sources,7.827,2.485371401,8,0.069607303,0.527746888
NCOA2, EndodUP sources,0.932,0.977433374,1,0.069569959,0.527732026
TIPARP, HepUp sources,1.905,1.391393187,2,0.06827689,0.52721739
NUFIP1, HepUp sources,0.938,0.91112897,1,0.068047447,0.527126068
ZZZ3, HepUp sources,1.911,1.338311997,2,0.066501683,0.526510791
FOXJ2, EndodUP sources,0.938,0.951922266,1,0.065131369,0.525965298
DDIT3, ESCUp sources,0.942,0.91358415,1,0.063486215,0.525310332
CBFB, HepEven targets,2.896,1.671282143,3,0.062227674,0.524809238
ZNF267, EndodUP sources,0.942,0.93842208,1,0.061805877,0.524641289
TFAP4, HepDown targets,6.849,2.473095024,7,0.061057096,0.524343131
KLF7,  sources,11.806,3.20567684,12,0.060517641,0.524128317
FOSL2, EndoDown targets,0.946,0.927946119,1,0.058193034,0.523202565
SEMA4A, HepEven sources,2.905,1.643160065,3,0.057815427,0.523052175
TFDP2, HepUp sources,1.919,1.402297757,2,0.05776234,0.523031032
ZNF263, ESCUp sources,0.944,1.007404586,1,0.055588391,0.522165144
TGIF1, HepEven targets,1.927,1.325017358,2,0.055093618,0.52196806
ZHX1, ESCUp sources,0.95,0.956817642,1,0.052256562,0.520837868
HOXB4, ESCUp sources,0.951,0.979080691,1,0.050046948,0.519957512
DPF3, HepUp sources,0.954,0.92405844,1,0.049780401,0.519851308
RUNX1, HepEven targets,2.917,1.683481809,3,0.049302582,0.519660919
CENPB, HepUp sources,0.952,0.976573602,1,0.049151441,0.519600696
USF1, ESCDown targets,9.853,3.031400831,10,0.048492432,0.519338102
PPARA, EndodUP targets,9.85,3.110868046,10,0.048218053,0.519228769
BACH2, HepEven targets,7.876,2.669948314,8,0.046442847,0.518521357
JUND, EndodUP targets,3.913,1.94253211,4,0.044786904,0.517861418
FOSL2, EndodUP targets,3.917,1.963698297,4,0.042267185,0.516857148
ZNF519, HepUp sources,0.961,0.943121943,1,0.041352023,0.51649237
KLF11,  sources,9.892,2.683716826,10,0.040242696,0.516050181
ZFP42, EndodUP sources,1.947,1.340220504,2,0.039545731,0.515772353
MLLT1, EndodUP sources,0.962,0.984152427,1,0.038611905,0.515400095
ZC3H15,  sources,6.916,2.22597035,7,0.037736352,0.515051054
ZNF503, HepUp sources,1.95,1.353329228,2,0.036945925,0.514735939
MEF2C, HepDown targets,0.964,0.983211066,1,0.036614722,0.514603898
PBX1, HepEven sources,1.951,1.377896585,2,0.03556145,0.514183976
CREM, HepEven sources,4.925,2.168726585,5,0.034582506,0.513793674
TERF2IP, HepUp sources,0.972,0.94932397,1,0.029494673,0.511764966
TSC22D1,  sources,9.919,2.763410755,10,0.029311603,0.511691964
FOSL2, ESCUp targets,3.942,2.001158664,4,0.028983209,0.511561009
HAND1, ESCDown sources,0.977,0.947877102,1,0.024264749,0.509679284
SP8, HepUp sources,0.981,0.938423678,1,0.020246718,0.50807672
LHX1, HepEven sources,1.973,1.348432794,2,0.020023245,0.507987585
SMAD1, HepEven sources,1.975,1.402274937,2,0.017828173,0.507112035
PRDM6, ESCDown sources,1.976,1.395501344,2,0.01719812,0.506860719
ATF6, HepUp sources,0.984,0.985770764,1,0.016230954,0.50647493
CDX2, EndodUP sources,0.985,1.007360412,1,0.014890401,0.505940191
CBFB,  targets,14.953,3.52885123,15,0.013318782,0.505313268
RCOR2, ESCDown sources,1.982,1.418335644,2,0.012690931,0.505062813
POU5F1, ESCUp targets,2.981,1.732812454,3,0.010964833,0.504374248
JUND, ESCUp targets,3.981,1.909093764,4,0.009952366,0.503970354
ESCDown, HepEven sources,101.913,9.527404211,102,0.009131553,0.503642912
HepEven, ESCDown targets,101.913,9.527404211,102,0.009131553,0.503642912
FOSL2, HepUp sources,0.992,0.941241733,1,0.008499411,0.503390733
ZNF423, EndodUP sources,1.99,1.368173966,2,0.007309012,0.502915848
ZBP1, ESCDown sources,0.993,0.972085902,1,0.00720101,0.502872762
HMGB3,  sources,4.988,1.972271787,5,0.006084354,0.502427291
TFAP4, HepEven sources,1.992,1.392815853,2,0.00574376,0.502291416
TEAD3, HepUp sources,1.993,1.316415968,2,0.005317468,0.502121353
CEBPA, HepEven targets,3.99,1.894703143,4,0.005277872,0.502105556
DEK, ESCUp sources,0.995,0.971068999,1,0.005148965,0.502054131
JUND, EndoDown targets,0.995,0.98334887,1,0.005084665,0.502028479
ZNF576, HepEven sources,1.993,1.411010631,2,0.004960983,0.501979138
HNF1B, ESCUp sources,0.996,0.968495741,1,0.004130116,0.501647673
PRDM14, ESCUp sources,0.996,1.015866133,1,0.003937527,0.501570842
ARNT, ESCUp targets,8.995,2.972368584,9,0.00168216,0.500671084
MSX2, EndodUP sources,1,0.978774744,1,0,0.5
PPARD, HepEven targets,4.007,2.010709079,4,-0.003481359,0.498611142
CREBL2, ESCDown sources,1.004,0.976721045,1,-0.004095335,0.498366202
CEBPA,  targets,21.017,4.027494382,21,-0.004220987,0.498316075
NR3C1, ESCDown sources,2.006,1.376940086,2,-0.004357488,0.498261619
EDF1,  sources,3.009,1.553357332,3,-0.005793902,0.49768858
BNC2, EndodUP sources,1.01,1.015824788,1,-0.009844217,0.496072789
JAZF1, ESCDown sources,1.012,0.988866017,1,-0.012135112,0.49515891
CREB3L2, ESCUp sources,1.012,0.93266071,1,-0.012866415,0.494867185
ZNF337,  sources,5.025,1.899045813,5,-0.013164506,0.494748274
TSHZ1, ESCDown sources,1.013,0.976130627,1,-0.01331789,0.494687088
ZIC2, ESCDown sources,1.014,0.995893569,1,-0.014057727,0.494391963
SP100, ESCDown sources,2.021,1.361087433,2,-0.01542884,0.493845028
SMAD3,  sources,20.073,4.086523094,20,-0.017863597,0.492873835
TFAP4, HepEven targets,15.07,3.809081254,15,-0.018377135,0.492668997
RFX5, ESCDown sources,1.019,1.030843829,1,-0.018431502,0.492647311
PPARA,  targets,68.145,7.682576065,68,-0.018873878,0.492470859
MAX, ESCDown sources,2.028,1.410395689,2,-0.019852585,0.492080485
MAFG, ESCDown targets,7.053,2.610783599,7,-0.020300419,0.491901861
TFDP2,  sources,9.06,2.639014968,9,-0.022735756,0.490930527
ZNF644, HepUp sources,2.034,1.410263805,2,-0.024108964,0.490382846
NKX2-5,  sources,10.068,2.720547004,10,-0.024994973,0.490029487
MAF, ESCDown targets,7.066,2.63811372,7,-0.025017875,0.490020353
ZNF746, ESCDown sources,1.025,0.97384547,1,-0.025671424,0.489759708
NR2F2, ESCUp sources,2.036,1.399537066,2,-0.025722791,0.489739222
RUNX1,  targets,15.094,3.468596834,15,-0.027100296,0.489189869
HAND1, HepDown targets,2.039,1.422490422,2,-0.027416705,0.489063687
ZNF287, EndodUP sources,1.027,0.973792072,1,-0.027726658,0.488940081
ZIC3, HepUp sources,1.029,1.013981755,1,-0.02860012,0.488591758
NANOG, HepEven targets,2.041,1.393312241,2,-0.029426283,0.488262306
SMAD6, HepEven targets,5.064,2.167003461,5,-0.029533871,0.488219403
POU5F1, ESCUp sources,1.03,0.984428768,1,-0.030474526,0.487844305
SIX4, EndodUP sources,1.031,1.0000195,1,-0.030999396,0.487635011
SMAD9, HepEven targets,5.071,2.120839221,5,-0.033477314,0.486646978
DEPDC1B, HepEven sources,1.035,1.012805509,1,-0.034557474,0.486216306
ARNT, HepUp sources,2.049,1.396638464,2,-0.035084241,0.486006284
NR2F2, ESCDown sources,3.061,1.726058805,3,-0.035340627,0.485904064
BCL11B, HepUp sources,1.035,0.985786488,1,-0.035504646,0.485838671
ZNF589, HepDown targets,2.051,1.404421233,2,-0.036313891,0.485516037
DEPDC1, HepEven sources,1.035,0.959049008,1,-0.036494485,0.485444038
TBX3, HepUp sources,1.037,1.010757637,1,-0.036606204,0.485399498
ZNF432, HepUp sources,1.037,0.990772931,1,-0.037344581,0.48510513
NKX3-2, ESCDown sources,1.037,0.96417374,1,-0.038374827,0.484694416
ZKSCAN2,  sources,5.081,2.101056639,5,-0.038552031,0.484623774
GRHL2, ESCUp sources,1.041,0.9986586,1,-0.041055071,0.483625996
SMAD7, HepEven targets,5.087,2.103670839,5,-0.04135628,0.483505933
SMAD1, HepEven targets,5.093,2.200988641,5,-0.042253739,0.483148212
PLXNA3, HepEven sources,2.063,1.47276305,2,-0.042776739,0.482939753
ZFP36, HepUp sources,1.044,1.013934909,1,-0.043395291,0.482693216
SMAD3, EndodUP sources,3.072,1.65855841,3,-0.043411193,0.482686878
NFYB, HepEven sources,1.045,0.996481309,1,-0.0451589,0.481990327
FOXA1, EndodUP sources,1.047,1.007368354,1,-0.04665622,0.481393612
MEF2C, HepEven targets,2.063,1.349455816,2,-0.046685486,0.481381949
MLLT1,  sources,6.106,2.235791582,6,-0.047410501,0.48109303
CBFB, HepEven sources,1.048,1.004836305,1,-0.047768975,0.480950181
ZFX, EndodUP sources,1.05,1.02834819,1,-0.048621664,0.480610403
FOXK2, ESCDown sources,1.049,1.003294075,1,-0.04883912,0.480523753
TFAP2A,  sources,10.138,2.812997689,10,-0.049057986,0.480436543
ZNF576, EndodUP sources,1.051,1.022936459,1,-0.049856469,0.480118383
MAF, HepEven sources,2.07,1.393951219,2,-0.050216965,0.479974746
DMAP1, EndodUP sources,1.052,1.020439121,1,-0.050958454,0.479679313
MAX, HepDown targets,6.139,2.457982709,6,-0.056550438,0.477451658
CDX2,  targets,9.154,2.695233571,9,-0.057137905,0.477217671
ZNF268, HepEven sources,1.058,1.012243054,1,-0.057298491,0.477153711
HMGA1, HepUp sources,3.1,1.701763791,3,-0.058762562,0.476570614
ZNF266, HepEven sources,1.06,0.991160935,1,-0.060535073,0.475864741
ESCUp, ESCDown sources,55.434,7.134819129,55,-0.060828452,0.475747916
ESCDown, ESCUp targets,55.434,7.134819129,55,-0.060828452,0.475747916
ZNF556, EndodUP sources,1.065,1.064319031,1,-0.061071914,0.475650969
ZFHX3, HepEven sources,2.089,1.438429352,2,-0.061873042,0.475331968
POU5F1,  targets,20.264,4.094911965,20,-0.06447025,0.474297897
EndoDown, HepDown sources,2.102,1.436522189,2,-0.07100482,0.47169696
HepDown, EndoDown targets,2.102,1.436522189,2,-0.07100482,0.47169696
DMTF1, EndodUP sources,1.073,1.015712065,1,-0.071870762,0.471352379
NR2F2, ESCDown targets,20.307,4.241314773,20,-0.072383215,0.471148471
ATF1,  sources,9.2,2.733861738,9,-0.073156589,0.470840755
ARNT, ESCUp sources,1.074,0.980063263,1,-0.07550533,0.469906329
KLF11, HepUp sources,2.11,1.42334114,2,-0.077282949,0.469199228
ZBTB22,  sources,10.236,3.003382094,10,-0.078578081,0.468684111
PBX1, EndodUP targets,1.083,1.029616919,1,-0.080612506,0.46787506
TFAP2A, ESCUp targets,32.449,5.514290435,32,-0.081424801,0.467552063
LENG9, HepEven sources,2.116,1.416525326,2,-0.081890523,0.467366885
YBX2, ESCDown sources,2.119,1.411679496,2,-0.084296755,0.466410246
SOX2, HepUp targets,1.087,1.027341715,1,-0.084684578,0.466256078
ZNF107, HepEven sources,1.087,1.024417395,1,-0.08492632,0.466159983
MINK1, ESCUp sources,1.092,1.038044315,1,-0.088628201,0.464688698
EWSR1, ESCDown sources,1.091,1.021136132,1,-0.089116424,0.464494693
NR2F2,  targets,111.833,9.136033658,111,-0.091177422,0.463675807
YY2, HepUp sources,1.093,1.014076427,1,-0.091709064,0.463464598
HESX1, HepUp sources,1.098,1.065080279,1,-0.092011844,0.463344315
CREM,  targets,26.43,4.65199957,26,-0.092433371,0.463176864
TFAP4, EndodUP sources,1.093,1.00117481,1,-0.092890871,0.462995129
ZBTB5, ESCUp sources,1.098,1.047089299,1,-0.093592782,0.462716322
ESCUp, ESCDown targets,45.643,6.650379764,45,-0.096686208,0.461487797
ESCDown, ESCUp sources,45.643,6.650379764,45,-0.096686208,0.461487797
MAFG, HepEven sources,5.228,2.330239473,5,-0.097844021,0.461028076
JUN, EndoDown targets,1.103,1.048041507,1,-0.09827855,0.460855555
ARID5B, HepEven targets,10.314,3.192711074,10,-0.098349018,0.460827578
C20orf194, HepEven sources,2.147,1.411874994,2,-0.104116866,0.458538303
LARP7, EndodUP sources,1.113,1.066879093,1,-0.105916407,0.457824338
LHX1, EndodUP sources,1.108,1.014069031,1,-0.106501625,0.457592183
ZHX1, HepEven sources,2.159,1.458670285,2,-0.109003386,0.456599902
GATA4,  sources,6.242,2.210302242,6,-0.109487289,0.456408002
HAND1, HepUp sources,1.115,1.047747584,1,-0.10975926,0.456300151
ZNF234,  sources,5.227,2.054621863,5,-0.110482617,0.456013318
PPARD, ESCDown sources,1.113,1.017954321,1,-0.111006946,0.455805419
POU5F1, HepUp targets,4.223,2.004811961,4,-0.111232377,0.455716039
